2026-01-13 15:11:58,244 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=off | setups=on
2026-01-13 15:31:00,029 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.53%, funding +0.000061, width~0.78% |  | Funding: +0.000061 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:31:30,932 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.45%, funding +0.000061, width~0.78% |  | Funding: +0.000061 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:32:01,837 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.45%, funding +0.000062, width~0.78% |  | Funding: +0.000062 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:32:20,873 | INFO | Starting btc-alerts | symbol=BTCUSDT interval=30s | telegram=on | setups=on
2026-01-13 15:32:21,913 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.43%, funding +0.000062, width~0.78% |  | Funding: +0.000062 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:32:51,824 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.31%, funding +0.000062, width~0.79% |  | Funding: +0.000062 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:33:22,727 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.28%, funding +0.000061, width~0.78% |  | Funding: +0.000061 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:33:53,643 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.18%, funding +0.000061, width~0.79% |  | Funding: +0.000061 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:34:24,557 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.37%, funding +0.000061, width~0.78% |  | Funding: +0.000061 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:34:55,458 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.36%, funding +0.000061, width~0.78% |  | Funding: +0.000061 | OIΔ(15m): +210.78 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:35:26,361 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.39%, funding +0.000061, width~0.78% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:35:57,290 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.38%, funding +0.000061, width~0.78% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 490 – 92 555 | Lower zone: 91 701 – 91 765
2026-01-13 15:36:28,192 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.44%, funding +0.000061, width~0.79% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 498 – 92 562 | Lower zone: 91 701 – 91 765
2026-01-13 15:36:59,110 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.60%, funding +0.000061, width~1.05% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 765
2026-01-13 15:37:30,027 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.46%, funding +0.000061, width~1.05% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 765
2026-01-13 15:38:00,930 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.43%, funding +0.000061, width~1.05% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 765
2026-01-13 15:38:31,837 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.46%, funding +0.000061, width~1.05% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 765
2026-01-13 15:39:02,754 | INFO | 🧭 MARKET REGIME | TRANSITION | px15m +0.41%, funding +0.000061, width~1.05% |  | Funding: +0.000061 | OIΔ(15m): +303.90 (Bybit) |  | Upper zone: 92 735 – 92 800 | Lower zone: 91 701 – 91 765
